timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659791618160,1024,GET All Activities,200,OK,Stress Test 1-2,text,true,,3109,215,2,2,https://maryamapp-appservice.azurewebsites.net/api/Activities,1024,0,788
1659791617675,1552,GET All Activities,200,OK,Stress Test 1-1,text,true,,3109,215,2,2,https://maryamapp-appservice.azurewebsites.net/api/Activities,1552,0,1298
1659791619187,224,Create new Activity,200,OK,Stress Test 1-2,text,true,,262,323,2,2,https://maryamapp-appservice.azurewebsites.net/api/Activities,224,0,0
1659791619230,236,Create new Activity,200,OK,Stress Test 1-1,text,true,,262,323,2,2,https://maryamapp-appservice.azurewebsites.net/api/Activities,236,0,0
1659791619412,223,Update Activity,200,OK,Stress Test 1-2,text,true,,262,236,2,2,https://maryamapp-appservice.azurewebsites.net/api/Activities/2,222,0,0
1659791619468,233,Update Activity,200,OK,Stress Test 1-1,text,true,,262,236,2,2,https://maryamapp-appservice.azurewebsites.net/api/Activities/1,233,0,0
1659791619636,220,Delete Activity,200,OK,Stress Test 1-2,,true,,211,239,2,2,https://maryamapp-appservice.azurewebsites.net/api/Activities/2,220,0,0
1659791619703,230,Delete Activity,200,OK,Stress Test 1-1,,true,,211,239,1,1,https://maryamapp-appservice.azurewebsites.net/api/Activities/1,230,0,0
